[2025-04-11T23:43:26.053+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-11T23:43:26.063+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [queued]>
[2025-04-11T23:43:26.068+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [queued]>
[2025-04-11T23:43:26.069+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-11T23:43:26.080+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_attractions> on 2025-04-11 23:43:23.931280+00:00
[2025-04-11T23:43:26.084+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=90) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-11T23:43:26.085+0000] {standard_task_runner.py:72} INFO - Started process 101 to run task
[2025-04-11T23:43:26.085+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'triphobo_etl_pipeline', 'scrape_attractions', 'manual__2025-04-11T23:43:23.931280+00:00', '--job-id', '74', '--raw', '--subdir', 'DAGS_FOLDER/trip_dag.py', '--cfg-path', '/tmp/tmpms4jpd6f']
[2025-04-11T23:43:26.087+0000] {standard_task_runner.py:105} INFO - Job 74: Subtask scrape_attractions
[2025-04-11T23:43:26.116+0000] {task_command.py:467} INFO - Running <TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [running]> on host ef93b6d60ab1
[2025-04-11T23:43:26.148+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='triphobo_etl_pipeline' AIRFLOW_CTX_TASK_ID='scrape_attractions' AIRFLOW_CTX_EXECUTION_DATE='2025-04-11T23:43:23.931280+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-11T23:43:23.931280+00:00'
[2025-04-11T23:43:26.150+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-11T23:43:26.658+0000] {things_to_do.py:79} INFO - 📍 Scraping city: New York City United States
[2025-04-11T23:43:26.659+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 1: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=1
[2025-04-11T23:43:35.654+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:43:35.654+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/empire-state-building
[2025-04-11T23:43:39.319+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/statue-of-liberty
[2025-04-11T23:43:43.540+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/rockefeller-center
[2025-04-11T23:43:47.327+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/times-square
