[2025-04-12T05:57:21.219+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-12T05:57:21.225+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:57:19.595174+00:00 [queued]>
[2025-04-12T05:57:21.227+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:57:19.595174+00:00 [queued]>
[2025-04-12T05:57:21.228+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-12T05:57:21.232+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_attractions> on 2025-04-12 05:57:19.595174+00:00
[2025-04-12T05:57:21.236+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=898) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-12T05:57:21.237+0000] {standard_task_runner.py:72} INFO - Started process 902 to run task
[2025-04-12T05:57:21.237+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'triphobo_etl_pipeline', 'scrape_attractions', 'manual__2025-04-12T05:57:19.595174+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/trip_dag.py', '--cfg-path', '/tmp/tmpeb7tikyg']
[2025-04-12T05:57:21.240+0000] {standard_task_runner.py:105} INFO - Job 136: Subtask scrape_attractions
[2025-04-12T05:57:21.264+0000] {task_command.py:467} INFO - Running <TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:57:19.595174+00:00 [running]> on host 0032dfa832cd
